Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
35793901	2020-12-22	Turkey		Turkey	Criticize or denounce	111	-2	Greece		Greece	52343797	2	The Jerusalem Post	Ankara		Ankara	Turkey	39.9199	32.8543
35793864	2020-12-22	Muhammad Ishtayyah	Parties,(National) Major Party,Ideological,Center Left,Dissident	Occupied Palestinian Territory	Make an appeal or request	020	3	UN Security Council	Global,Global Defense / Security IGOs,International Government Organization,Global Diplomatic IGOs		52343806	6	The Jerusalem Post			West Bank	Occupied Palestinian Territory	31.6667	35.25
35793863	2020-12-22	Hassan Rouhani	Government,Elite,Defense / Security Ministry,Ideological,Executive Office,Far Right,Executive,Government Religious,(National) Major Party,Parties	Iran	Make statement	010	0	Joseph Robinette Biden	Government,Executive,Cabinet,Ideological,Center Left,Parties,(National) Major Party	United States	52343808	4	The Jerusalem Post				Iran	35.6944	51.4215
35793877	2020-12-22	Santos António Silva	State Owned Enterprises,Government,State-Owned Heavy Industrial / Chemical	Angola	Make a visit	042	1.9	Israel		Israel	52343809	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
35793878	2020-12-22	Israel		Israel	Host a visit	043	2.8	Santos António Silva	State Owned Enterprises,Government,State-Owned Heavy Industrial / Chemical	Angola	52343809	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
35793876	2020-12-22	Israel		Israel	Make statement	010	0	Iran		Iran	52343809	6	The Jerusalem Post	Tehran		Tehran Province	Iran	35.6944	51.4215
35793881	2020-12-22	Israel		Israel	Praise or endorse	051	3.4	Cabinet / Council of Ministers / Advisors (Israel)	Government,Cabinet,Executive	Israel	52343810	1	The Jerusalem Post				Israel	31.779	35.2253
35795752	2020-12-23	Gideon Sa'ar	(National) Major Party,Parties,Jews,Unicameral,International Ethnic,Cabinet,Center Right,Executive,Ideological,Government,Legislative / Parliamentary	Israel	Make statement	010	0	City Mayor (Israel)	Local,Municipal,Government	Israel	52348693	4	The Jerusalem Post	Beersheba		Southern District	Israel	31.2518	34.7913
35795658	2020-12-23	Jonathan Pollard	Government,Military,Military Intelligence	Israel	Investigate	090	-2	United States		United States	52348694	1	The Jerusalem Post				United States	38.8951	-77.0364
35795642	2020-12-23	Benjamin Netanyahu	Foreign Ministry,(National) Major Party,Parties,Jews,International Ethnic,Elite,Center Right,Executive,Ideological,Executive Office,Government	Israel	Engage in negotiation	046	7	United Arab Emirates		United Arab Emirates	52348695	6	The Jerusalem Post				United Arab Emirates	25.2582	55.3047
35795643	2020-12-23	Benjamin Netanyahu	Foreign Ministry,(National) Major Party,Parties,Jews,International Ethnic,Elite,Center Right,Executive,Ideological,Executive Office,Government	Israel	Engage in negotiation	046	7	Bahrain		Bahrain	52348695	6	The Jerusalem Post				Bahrain	26.2154	50.5832
35795644	2020-12-23	United Arab Emirates		United Arab Emirates	Engage in negotiation	046	7	Benjamin Netanyahu	Foreign Ministry,(National) Major Party,Parties,Jews,International Ethnic,Elite,Center Right,Executive,Ideological,Executive Office,Government	Israel	52348695	6	The Jerusalem Post				United Arab Emirates	25.2582	55.3047
35795645	2020-12-23	Bahrain		Bahrain	Engage in negotiation	046	7	Benjamin Netanyahu	Foreign Ministry,(National) Major Party,Parties,Jews,International Ethnic,Elite,Center Right,Executive,Ideological,Executive Office,Government	Israel	52348695	6	The Jerusalem Post				Bahrain	26.2154	50.5832
35795762	2020-12-23	European Parliament	International Government Organization,Regional,Regional Diplomatic IGOs		Criticize or denounce	111	-2	Government (Iran)	Government	Iran	52348699	1	The Jerusalem Post				Iran	35.6944	51.4215
35795700	2020-12-23	Government (Palestinian Territory, Occupied)	Government	Occupied Palestinian Territory	Coerce	170	-7	Citizen (Palestinian Territory, Occupied)	Social,General Population / Civilian / Social	Occupied Palestinian Territory	52348700	5	The Jerusalem Post			West Bank	Occupied Palestinian Territory	31.6667	35.25
35795701	2020-12-23	Palestinian Territory, Occupied		Occupied Palestinian Territory	Make optimistic comment	013	0.4	Israel		Israel	52348703	1	The Jerusalem Post				Israel	31.779	35.2253
35795736	2020-12-23	Santos António Silva	Government,State-Owned Heavy Industrial / Chemical,State Owned Enterprises	Angola	Make a visit	042	1.9	Israel		Israel	52348704	6	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
35795737	2020-12-23	Israel		Israel	Host a visit	043	2.8	Santos António Silva	Government,State-Owned Heavy Industrial / Chemical,State Owned Enterprises	Angola	52348704	6	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
35795647	2020-12-23	Chief of Staff (Israeli Defense Forces)	Government,Military	Israel	Cooperate militarily	062	7.4	Defense / Security Ministry (Israel)	Executive,Government,Defense / Security Ministry	Israel	52348705	6	The Jerusalem Post				Israel	31.779	35.2253
35795763	2020-12-23	United States		United States	Make a visit	042	1.9	Morocco		Morocco	52348712	5	The Jerusalem Post	Rabat	Rabat	Region de Rabat-Sale-Zemmour-Zaer	Morocco	34.0132	-6.83255
35795764	2020-12-23	Morocco		Morocco	Host a visit	043	2.8	United States		United States	52348712	5	The Jerusalem Post	Rabat	Rabat	Region de Rabat-Sale-Zemmour-Zaer	Morocco	34.0132	-6.83255
35795720	2020-12-23	Benjamin Netanyahu	Foreign Ministry,(National) Major Party,Parties,Jews,International Ethnic,Elite,Center Right,Executive,Ideological,Executive Office,Government	Israel	Accuse	112	-2	Benny Gantz	Government,Military	Israel	52348716	2	The Jerusalem Post				Israel	31.779	35.2253
35795721	2020-12-23	Benny Gantz	Government,Military	Israel	Accuse	112	-2	Benjamin Netanyahu	Foreign Ministry,(National) Major Party,Parties,Jews,International Ethnic,Elite,Center Right,Executive,Ideological,Executive Office,Government	Israel	52348716	2	The Jerusalem Post				Israel	31.779	35.2253
35798909	2020-12-23	John Anderson	(National) Major Party,Parties,Opposition Major Party (Out Of Government),Elite	Australia	Make statement	010	0	Tim Fischer	(National) Major Party,Parties,Opposition Major Party (Out Of Government),Elite	Australia	52357287	5	Australian Associated Press			State of Queensland	Australia	-20	145
35799252	2020-12-24	National Security Advisor (Israel)	Government,Executive,Defense / Security Ministry	Israel	Make an appeal or request	020	3	Joseph Robinette Biden	Government,Center Left,Cabinet,Ideological,(National) Major Party,Parties,Executive	United States	52357797	6	The Jerusalem Post				Israel	31.779	35.2253
35799244	2020-12-24	City Mayor (Israel)	Government,Local,Municipal	Israel	Make a visit	042	1.9	United Arab Emirates		United Arab Emirates	52357801	2	The Jerusalem Post	Dubai		Dubayy	United Arab Emirates	25.2582	55.3047
35799245	2020-12-24	United Arab Emirates		United Arab Emirates	Host a visit	043	2.8	City Mayor (Israel)	Government,Local,Municipal	Israel	52357801	2	The Jerusalem Post	Dubai		Dubayy	United Arab Emirates	25.2582	55.3047
35799197	2020-12-24	Hamas	Nongovernmental Organization (International),Parties,(National) Major Party,Dissident,Muslim,International Religious	Occupied Palestinian Territory	Sign formal agreement	057	8	Israel		Israel	52357806	1	The Jerusalem Post				Israel	31.779	35.2253
35799204	2020-12-24	Hamas	Nongovernmental Organization (International),Parties,(National) Major Party,Dissident,Muslim,International Religious	Occupied Palestinian Territory	Criticize or denounce	111	-2	Head of Government (Morocco)	Executive,Executive Office,Government	Morocco	52357806	1	The Jerusalem Post				Morocco	33.9911	-6.84006
35799205	2020-12-24	Israel		Israel	Sign formal agreement	057	8	Hamas	Nongovernmental Organization (International),Parties,(National) Major Party,Dissident,Muslim,International Religious	Occupied Palestinian Territory	52357806	1	The Jerusalem Post				Israel	31.779	35.2253
35799196	2020-12-24	Justice and Development Party	Parties,(National) Minor Party	Cameroon	Praise or endorse	051	3.4	Morocco		Morocco	52357806	2	The Jerusalem Post				Morocco	33.9911	-6.84006
35799198	2020-12-24	Israel		Israel	Sign formal agreement	057	8	United Arab Emirates		United Arab Emirates	52357806	3	The Jerusalem Post				Israel	31.779	35.2253
35799199	2020-12-24	Bahrain		Bahrain	Sign formal agreement	057	8	United Arab Emirates		United Arab Emirates	52357806	3	The Jerusalem Post				Bahrain	26.2154	50.5832
35799200	2020-12-24	United Arab Emirates		United Arab Emirates	Sign formal agreement	057	8	Israel		Israel	52357806	3	The Jerusalem Post				United Arab Emirates	25.2582	55.3047
35799201	2020-12-24	Bahrain		Bahrain	Sign formal agreement	057	8	Israel		Israel	52357806	3	The Jerusalem Post				Bahrain	26.2154	50.5832
35799202	2020-12-24	United Arab Emirates		United Arab Emirates	Sign formal agreement	057	8	Bahrain		Bahrain	52357806	3	The Jerusalem Post				United Arab Emirates	25.2582	55.3047
35799203	2020-12-24	Israel		Israel	Sign formal agreement	057	8	Bahrain		Bahrain	52357806	3	The Jerusalem Post				Israel	31.779	35.2253
35799195	2020-12-24	Head of Government (Morocco)	Executive,Executive Office,Government	Morocco	Make statement	010	0	Morocco		Morocco	52357806	4	The Jerusalem Post				Morocco	33.9911	-6.84006
35799222	2020-12-24	Israel		Israel	Make a visit	042	1.9	Morocco		Morocco	52357807	2	The Jerusalem Post	Rabat	Rabat	Region de Rabat-Sale-Zemmour-Zaer	Morocco	34.0132	-6.83255
35799223	2020-12-24	Morocco		Morocco	Host a visit	043	2.8	Israel		Israel	52357807	2	The Jerusalem Post	Rabat	Rabat	Region de Rabat-Sale-Zemmour-Zaer	Morocco	34.0132	-6.83255
35799221	2020-12-24	Indonesia		Indonesia	Engage in diplomatic cooperation	050	3.5	Israel		Israel	52357811	6	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
35799242	2020-12-24	Benjamin Netanyahu	Foreign Ministry,Executive Office,Government,Elite,Center Right,Executive,Ideological,International Ethnic,(National) Major Party,Parties,Jews	Israel	Make statement	010	0	Cabinet / Council of Ministers / Advisors (Israel)	Government,Cabinet,Executive	Israel	52357814	5	The Jerusalem Post				Israel	31.779	35.2253
35799243	2020-12-24	Benjamin Netanyahu	Foreign Ministry,Executive Office,Government,Elite,Center Right,Executive,Ideological,International Ethnic,(National) Major Party,Parties,Jews	Israel	Express intent to meet or negotiate	036	4	Ministry (Israel)	Government	Israel	52357814	5	The Jerusalem Post				Israel	31.779	35.2253
35801845	2020-12-25	Israeli Defense Forces	Government,Military	Israel	Threaten	130	-4.4	Iran		Iran	52365032	3	The Jerusalem Post				Iran	35.6944	51.4215
35801846	2020-12-25	Donald Trump	Executive Office,Government,Executive	United States	Threaten	130	-4.4	Iran		Iran	52365037	1	The Jerusalem Post	Baghdad		Muhafazat Baghdad	Iraq	33.3406	44.4009
35801849	2020-12-25	Israel		Israel	Cooperate economically	061	6.4	United States		United States	52365039	3	The Jerusalem Post	Hebron		West Bank	Occupied Palestinian Territory	31.5294	35.0938
